sample_id,YEAR,URL,DOI,figure_number_of_targetZT,label_of_targetZT_in_figure,figure_label_description,GROUP,BASEMAT,Composition_by_element,Composition_detailed,"mat_dimension(bulk, film, 1D, 2D)",SINTERING
368,2020.0,https://doi.org/10.1039/c9ee03897c,10.1039/c9ee03897c,Figure 6(c) ,"x = 1, out of plane",SnSe0.95+x%PbBr2,Selenide,SnSe,SnSePbBr2,SnSe0.95 + 1% PbBr2,,
369,2019.0,https://doi.org/10.1039/c8ee03386b,10.1039/c8ee03386b,Figure 7(c) ,x=3,PbSe + 3% CdSe,Selenide,PbSe,PbSeCdSe,PbSe + 3% CdSe,,
372,2016.0,https://doi.org/10.1039/c6ee02017h,10.1039/c6ee02017h,Figure 1(b),M: Cu x = 0.005,,Bi2Te3,Bi2Te3,"BiSbMTe (M=Cd, Cu, Ag)",Bi0.5Sb1.495Cu0.005Te3,,
373,2017.0,https://doi.org/10.1039/c7ee00098g,10.1039/c7ee00098g,Figure 4(b),x= 0.15,Mg3.05Nb0.15Sb1.5Bi0.49Te0.01,Zintl,Mg3Sb2,MgNbSbBiTe,Mg3.05Nb0.15Sb1.5Bi0.49Te0.01,,
374,2017.0,https://doi.org/10.1039/c7ee01193h,10.1039/c7ee01193h,Figure 5(b),1 mol% In,Cu2Se + 1 mol% In,Cu2Q,Cu2Se,CuSeIn,Cu2Se + 1 mol% In,,
375,2017.0,https://doi.org/10.1039/c7ee01871a,10.1039/c7ee01871a,Figure 1(b),PbTe0.998I0.002-3%Sb,,PbTe,PbTe,PbTeISb,PbTe0.998I0.002 + 3% Sb composite,,
376,2017.0,https://doi.org/10.1039/c7ee02530k,10.1039/c7ee02530k,Figure 3,Sn0.97Bi0.03Te–3% PbTe,Sn0.97Bi0.03Te–3% PbTe,Telluride,SnTe,SnBiTePb,Sn0.97Bi0.03Te + 3% PbTe,,
377,2017.0,https://doi.org/10.1039/c7ee02677c,10.1039/c7ee02677c,Figure 14,x = 0.4,Bi0.4Sb1.6Te3,Bi2Te3,Bi2Te3,BiSbTe,Bi0.4Sb1.6Te3,,
378,2018.0,https://doi.org/10.1039/c8ee00112j,10.1039/c8ee00112j,Figure 5(a),x = 0.0035,In0.0035Pb0.9965Te0.996I0.004,PbTe,PbTe,InPbTeI,In0.0035Pb0.9965Te0.996I0.004,,
379,2018.0,https://doi.org/10.1039/c8ee00290h,10.1039/c8ee00290h,Figure 17,,Zn0.015Bi0.46Sb1.54Te3.015,Bi2Te3,Bi2Te3,ZnBiSbTe,Zn0.015Bi0.46Sb1.54Te3.015,,
380,2018.0,https://doi.org/10.1039/c8ee01151f,10.1039/c8ee01151f,Figure 8(c) ,x=4,PbTe + 4% MnTe,PbTe,PbTe,PbTeMn,PbTe + 4% MnTe,,
382,2019.0,https://doi.org/10.1039/c8ee03162b,10.1039/c8ee03162b,Figure 6,Sn0.57Sb0.13Ge0.3Te SPS,Sn0.57Sb0.13Ge0.3Te SPS,Telluride,SnTe,SnSbGeTe,Sn0.57Sb0.13Ge0.3Te,,
383,2019.0,https://doi.org/10.1039/c9ee00317g,10.1039/c9ee00317g,Figure 6(a),y=0.05,Bi0.05Ge0.99Te,GeTe,GeTe,BiGeTe,Bi0.05Ge0.99Te,,
385,2016.0,https://doi.org/10.1039/c5ee02600h,10.1039/c5ee02600h,Figure 1,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,Silicide,Mg2Sn,MgSnGeSb,Mg2Sn0.73Ge0.25Sb0.02,,
387,2015.0,https://doi.org/10.1039/c4ee01463d,10.1039/c4ee01463d,Figure 9(a),x=3,Sn0.98Bi0.02Te - 3% HgTe,Telluride,SnTe,SnBiTeHg,Sn0.98Bi0.02Te + 3% HgTe,,
388,2013.0,https://doi.org/10.1039/c3ee41935e,10.1039/c3ee41935e,Figure 4(e) ,AgSb0.98Bi0.02Se2,AgSb0.98Bi0.02Se2,AgSbQ2,AgSbSe2,AgSbBiSe,AgSb0.98Bi0.02Se2,,
389,2020.0,https://doi.org/10.1016/j.joule.2019.10.010,10.1016/j.joule.2019.10.010,Figure 4(h),"Sb2Si2Te6/Si2Te3, cross plane",,Telluride,Sb2Si2Te6,SbSiTe,Sb2Si2Te6 / Si2Te3,,
390,2019.0,https://doi.org/10.1002/adfm.201906143,10.1002/adfm.201906143,Figure 6(c) ,"Mn, y=0.05 // Mg3.2-yAySb1.5Bi0.49Se0.01","Mn, y=0.05 // Mg3.2-yAySb1.5Bi0.49Se0.01",Mg3Sb2,Mg3Sb2,MgMnSbBiSe,Mg3.15Mn0.05Sb1.5Bi0.49Se0.01,,
391,2018.0,https://doi.org/10.1002/aenm.201800659,10.1002/aenm.201800659,Figure 7(a),x=0.02,Pb0.98Ga0.02Te,PbTe,PbTe,PbGaTe,Pb0.98Ga0.02Te,,
392,2020.0,https://doi.org/10.1002/adfm.202005202,10.1002/adfm.202005202,Figure 6(d),w=0.004,Bi0.396Sb1.525In0.075Cu0.004Te3,Bi2Te3,Bi2Te3,BiSbInCuTe,Bi0.396Sb1.525In0.075Cu0.004Te3,,
393,2020.0,https://doi.org/10.1002/adfm.201910059,10.1002/adfm.201910059,Figure 8(a),x=0.06,Ge0.8Pb0.1Bi0.1Te1.06,GeTe,GeTe,GePbBiTe,Ge0.8Pb0.1Bi0.1Te1.06,,
395,2016.0,https://doi.org/10.1002/aenm.201502269,10.1002/aenm.201502269,Figure 4(a),x=0.005,Mg0.995Li0.005Ag0.97Sb0.99,MgAgSb,MgAgSb,MgLiAgSb,Mg0.995Li0.005Ag0.97Sb0.99,,
396,2020.0,https://doi.org/10.1002/aenm.202003304,10.1002/aenm.202003304,Figure 5(c) ,x=0.3 - Br 1%,Ag0.7Bi0.7Pb0.3Se1.683Br0.01,Selenide,AgBiSe2,AgBiSePbBr,Ag0.7Bi0.7Pb0.3Se1.683Br0.01,,
397,2019.0,https://doi.org/10.1002/aenm.201900354,10.1002/aenm.201900354,Figure 6(a),Bi1.90Ta1.10O2Se,Bi1.90Ta1.10O2Se,Oxide,Bi2O2Se,BiTaOSe,Bi1.90Ta1.10O2Se,,
398,2020.0,https://doi.org/10.1002/aenm.202002588,10.1002/aenm.202002588,Figure 5(c) ,Ge0.88Bi0.06Sc0.06Te,Ge0.88Bi0.06Sc0.06Te,GeTe,GeTe,GeCrBiTe,Ge0.88Bi0.06Sc0.06Te,,
399,2018.0,https://doi.org/10.1002/adfm.201801617,10.1002/adfm.201801617,Figure 5(d),"Pb0.988Sb0.012Te-13% GeTe, SS SPSed pellets","Pb0.988Sb0.012Te-13% GeTe, SS SPSed pellets",PbTe,PbTe,PbSbGeTe,Pb0.988Sb0.012Te + 13% GeTe,,
400,2018.0,https://doi.org/10.1002/aenm.201803072,10.1002/aenm.201803072,Figure 6(a),Sn0.99Na0.01Se-STSe,Sn0.99Na0.01Se-1 mol% Ag8SnSe6,Selenide,SnSe,SnNaAgSnSe,Sn0.99Na0.01Se + 1 mol% Ag8SnSe6,,
401,2020.0,https://doi.org/10.1002/adfm.202007340,10.1002/adfm.202007340,Figure 3(f),"PST81-xSb, x=0.6",(PbTe)81Sb2Te3 + 0.6Sb + 2Cu2Te,PbTe,PbTe,PbSbCuTe,(PbTe)81Sb2Te3 + 0.6Sb + 2Cu2Te,,
402,2019.0,https://doi.org/10.1002/aenm.201902986,10.1002/aenm.201902986,Figure 5(c) ,1 vol%,Bi0.4Sb1.6Te3 + 1 vol% Ti3C2Tx,Bi2Te3,Bi2Te3,"BiSbTeTiC + T(O,OH,F group)",Bi0.4Sb1.6Te3 + 1 vol% Ti3C2Tx,,
403,2020.0,https://doi.org/10.1002/adfm.202005479,10.1002/adfm.202005479,Figure 1(a),x=0.02,Ga0.02Pb0.98Te,PbTe,PbTe,GaPbTe,Ga0.02Pb0.98Te,,
404,2020.0,https://doi.org/10.1002/adma.202003730,10.1002/adma.202003730,Figure 1(a),"x=0.005, y=0.001",Cu2Se1.005 + 0.1 mol% BiCuSeO,Cu2Q,Cu2Se,CuSeBiCuO,Cu2Se1.005 + 0.1 mol% BiCuSeO,,
405,2018.0,https://doi.org/10.1002/aenm.201803249,10.1002/aenm.201803249,Figure 7(f),Cr,Cr2Cu26Ge6S32,Cu2Q,CuS,CuCrGeS,Cr2Cu26Ge6S32,,
406,2018.0,https://doi.org/10.1002/adfm.201803617,10.1002/adfm.201803617,Figure 7(a),HD5,Bi1.95Sb0.05Te2.3Se0.7,Bi2Te3,Bi2Te3,BiSbTeSe,Bi1.95Sb0.05Te2.3Se0.7,,
407,2017.0,https://doi.org/10.1002/adma.201703148,10.1002/adma.201703148,Figure 1(c) ,PbTe-4%InSb,PbTe-4%InSb,PbTe,PbTe,PbTeInSb,PbTe + 4% InSb,,
408,2017.0,https://doi.org/10.1002/aenm.201602582,10.1002/aenm.201602582,Figure 10(a),x=20,Yb0.3Co4Sb12 + 20% Sb,SKD,CoSb3,YbCoSb,Yb0.3Co4Sb12 + 20% Sb,,
410,2019.0,https://doi.org/10.1002/adfm.201806613,10.1002/adfm.201806613,Figure 2(f),GeTe-5% Bi2Te3,Ge1-xBixTe1+0.5x,GeTe,GeTe,GeBiTe,Ge0.95Bi0.05Te 1.025,,
411,2018.0,https://doi.org/10.1002/adfm.201807235,10.1002/adfm.201807235,Figure 4(b),x=1.5,Mg3.2Sb0.015Bi1.975Te0.01,Mg3Sb2,Mg3Sb2,MgSbBiTeMn,Mg3.2Sb0.015Bi1.975Te0.01,,
412,2019.0,https://doi.org/10.1002/adfm.201903157,10.1002/adfm.201903157,Figure 10(d),Sb-1,"((Fe0.95Co0.05)0.27Si0.73)0.94Ge0.06 (with 0.5 wt% Cu, and 3 at% P + 1 at% Sb of DC phase)",Silicide,Fe2Si,FeCoSiGeSb,((Fe0.95Co0.05)0.27Si0.73)0.94Ge0.06 + 1 at% Sb,,
413,2018.0,https://doi.org/10.1002/adma.201705942,10.1002/adma.201705942,Figure 2(f),"x=0.1, y=0.01",Ge0.89Sb0.1In0.01Te,GeTe,GeTe,GeSbInTe,Ge0.89Sb0.1In0.01Te,,
416,2017.0,https://doi.org/10.1002/aenm.201700446,10.1002/aenm.201700446,Figure 6(b),HZNSS-5min,Hf0.25Zr0.75NiSn0.97Sb0.03,HH,ZrNiSn,HfZrNiSnSb,Hf0.25Zr0.75NiSn0.97Sb0.03,,
418,2018.0,https://doi.org/10.1002/aenm.201802116,10.1002/aenm.201802116,Figure S6,y=0.03,Sn0.555Ge0.15Pb0.075Mn0.275Te,Telluride,SnTe,SnGePbMnTe,Sn0.555Ge0.15Pb0.075Mn0.275Te,,
419,2019.0,https://doi.org/10.1002/aenm.201803242,10.1002/aenm.201803242,Figure 9(e) ,Sn0.948Cd0.023Se,Sn0.948Cd0.023Se,Selenide,SnSe,SnCdSe,Sn0.948Cd0.023Se,,
420,2019.0,https://doi.org/10.1002/aenm.201901334,10.1002/aenm.201901334,Figure 8(a),x=12,SnSe + 12% PbSe,Selenide,SnSe,SnPbSe,SnSe + 12% PbSe,,
421,2020.0,https://doi.org/10.1002/aenm.202000757,10.1002/aenm.202000757,Figure 1(a),BST/B-0.6,BST composite materials after incorporating boron,Bi2Te3,Bi2Te3,BiSbTeB,Bi0.5Sb1.5Te3 + 0.6 wt% B,,
422,2019.0,https://doi.org/10.1038/s41467-018-08223-5,10.1038/s41467-018-08223-5,Figure 5(b),Ta0.74V0.1Ti0.16FeSb,Ta0.74V0.1Ti0.16FeSb,HH,TaFeSb,TaVTiFeSb,Ta0.74V0.1Ti0.16FeSb,,
423,2020.0,https://doi.org/10.1039/c9ee03897c,10.1039/c9ee03897c,Figure 6(c) ,"x = 2, out of plane",SnSe0.95+x%PbBr2,Selenide,SnSe,SnSePbBr,SnSe0.95 + 2% PbBr2,,
424,2017.0,https://doi.org/10.1038/nature23667,10.1038/nature23667,Figure 3(d),MNC02R,xCo/Ba0.3In0.3Co4Sb12,SKD,CoSb3,BaInCoSb,Ba0.3In0.3Co4Sb12+0.1%Co,,
